n         ,kappa    ,lambda,flux, energy, radius, A0max
-8.000000 100.000000 0.010000 -8.018214 244.561386 8.091181 0.719897
-9.000000 100.000000 0.010000 -8.496463 265.371762 8.348461 0.721645
-9.000000 100.000000 0.010000 -9.001833 272.554615 8.348461 0.721645
-9.000000 100.000000 0.010000 -9.001833 272.554615 8.348461 0.721645
-10.000000 100.000000 0.010000 -10.003507 300.253842 8.567342 0.723121
-20.000000 100.000000 0.010000 -19.994026 572.431114 10.516626 0.731065
-11.000000 100.000000 0.010000 -11.001544 327.891371 8.808585 0.724389
-12.000000 100.000000 0.010000 -11.997507 355.355425 9.034919 0.725492
-13.000000 100.000000 0.010000 -12.846496 380.378220 9.244990 0.726465
-13.000000 100.000000 0.010000 -13.001764 382.825034 9.244990 0.726465
-14.000000 100.000000 0.010000 -14.000031 410.134193 9.450092 0.727330
-15.000000 100.000000 0.010000 -14.992609 437.247177 9.626166 0.728107
-16.000000 100.000000 0.010000 -15.990152 464.339593 9.815338 0.728809
-17.000000 100.000000 0.010000 -16.995667 491.471330 9.995052 0.729448
-18.000000 100.000000 0.010000 -19.398596 520.995328 10.169360 0.730032
-18.000000 100.000000 0.010000 -18.000199 518.485586 10.169360 0.730032
-19.000000 100.000000 0.010000 -18.996435 545.457530 10.342317 0.730569
-50.000000 100.000000 0.010000 -49.979147 1361.360004 14.262202 0.738055
-150.000000 100.000000 0.010000 -150.014988 74555.964773 21.644252 0.743112
-150.000000 100.000000 0.010000 -154.872315 3985.366875 21.644252 0.743112
-150.000000 100.000000 0.010000 -150.407509 3942.193124 21.644252 0.743112
-150.000000 100.000000 0.010000 -149.451518 3937.387327 21.649855 0.743112
-300.000000 100.000000 0.010000 -208.047440 5201.186016 28.853941 0.745131
-300.000000 100.000000 0.010000 -301.274882 7785.284806 28.853941 0.745131
-300.000000 100.000000 0.010000 -299.719420 7782.793671 28.853941 0.745131
-1.000000 15.000000 0.100000 -3.293217 5.432063 4.573656 0.722847
-1.000000 15.000000 0.100000 -1.029882 4.341438 4.573656 0.722847
-2.000000 15.000000 0.100000 -1.987567 8.442786 5.417272 0.730298
-3.000000 15.000000 0.100000 -2.993422 12.479708 6.037279 0.734001
-4.000000 15.000000 0.100000 -3.995509 16.461447 6.544352 0.736199
-5.000000 15.000000 0.100000 -4.994948 20.405539 6.980277 0.737691
-1.000000 15.000000 0.200000 -1.002074 2.892943 7.264870 0.791361
-2.000000 15.000000 0.200000 -2.019526 6.128840 8.683319 0.780138
-2.000000 30.000000 0.100000 -2.129780 12.255513 9.191521 0.780137
-2.000000 30.000000 0.100000 -2.129780 12.255513 9.191521 0.780137
-1.000000 30.000000 0.100000 -3.478724 8.273984 7.764037 0.791361
-1.000000 30.000000 0.100000 -1.366850 5.843128 7.764037 0.791361
-1.000000 30.000000 0.100000 -1.037460 5.773907 7.764037 0.791361
-1.000000 40.000000 0.050000 -1.002620 9.717333 5.718806 0.754834
-2.000000 40.000000 0.050000 -1.998639 19.569131 6.745374 0.753370
-1.000000 35.000000 0.050000 -0.994726 9.212482 5.166559 0.740748
-2.000000 35.000000 0.050000 -1.990670 18.250076 6.081323 0.743183
-3.000000 35.000000 0.050000 -2.993920 27.256572 6.744245 0.744506
-4.000000 35.000000 0.050000 -3.995484 36.203193 7.291974 0.745279
-5.000000 35.000000 0.050000 -4.994816 45.104916 7.764037 0.745799
-1.000000 38.000000 0.050000 -0.998695 9.517612 5.488421 0.749566
-2.000000 38.000000 0.050000 -1.994639 19.046967 6.464169 0.749554
-1.000000 38.000000 0.045000 -0.994658 10.141956 5.122515 0.738182
-2.000000 38.000000 0.045000 -1.989655 20.045772 6.023727 0.741331
-3.000000 38.000000 0.045000 -2.993986 29.882134 6.683261 0.742996
-4.000000 38.000000 0.045000 -3.995515 39.649109 7.217438 0.743973
